Time	EMG	Muscle Force
0	0	0.22295
0.001	0	0.22295
0.002	0	0.22295
0.003	0	0.22295
0.004	0	0.22295
0.005	0	0.222569
0.006	0	0.222569
0.007	0	0.222188
0.008	0	0.222188
0.009	0	0.222188
0.01	0	0.221807
0.011	0	0.221807
0.012	0	0.221427
0.013	0	0.221427
0.014	0	0.221046
0.015	0	0.221046
0.016	0	0.220664
0.017	0	0.220664
0.018	0	0.220283
0.019	0	0.220283
0.02	0	0.220283
0.021	0	0.219902
0.022	0	0.219902
0.023	0	0.219902
0.024	0	0.219522
0.025	0	0.219522
0.026	0	0.219522
0.027	0	0.219522
0.028	0	0.219141
0.029	0	0.219141
0.03	0	0.219141
0.031	0	0.21876
0.032	0	0.21876
0.033	0	0.21876
0.034	0	0.21876
0.035	0	0.21876
0.036	0	0.21876
0.037	0	0.21876
0.038	0	0.218379
0.039	0	0.218379
0.04	0	0.218379
0.041	0	0.218379
0.042	0	0.218379
0.043	0	0.218379
0.044	0	0.218379
0.045	0	0.218379
0.046	0	0.217998
0.047	0	0.217998
0.048	0	0.217998
0.049	0	0.217998
0.05	0	0.217998
0.051	-1.34179	0.217998
0.052	-2.02972	0.217998
0.053	-0.360997	0.217998
0.054	0.735017	0.217998
0.055	0.887167	0.217617
0.056	0.674067	0.217617
0.057	0.325562	0.217617
0.058	-0.0422145	0.217998
0.059	-0.354239	0.217617
0.06	-0.555018	0.217617
0.061	-0.491211	0.217998
0.062	-0.324386	0.217617
0.063	-0.14656	0.217617
0.064	0.191623	0.217617
0.065	1.25946	0.217617
0.066	1.43185	0.217617
0.067	-0.0423906	0.217617
0.068	-1.66772	0.217617
0.069	-1.80572	0.217617
0.07	0.0984789	0.217617
0.071	0.801379	0.217617
0.072	0.879022	0.217617
0.073	0.603476	0.217617
0.074	0.19178	0.217617
0.075	-0.18865	0.217617
0.076	-0.458424	0.217617
0.077	-0.531147	0.217617
0.078	-0.444143	0.217617
0.079	-0.274583	0.217617
0.08	-0.13252	0.217617
0.081	0.660922	0.217617
0.082	1.56251	0.217617
0.083	1.04863	0.217617
0.084	-0.75415	0.217617
0.085	-2.09748	0.217617
0.086	-1.33012	0.217617
0.087	0.512091	0.217617
0.088	1.0619	0.217617
